4249,nzpf/1117,NZPF,2011-01-29,New Zealand,OTA,Dunedin,Otago Amateur Weightlifting Association Club Novice Bench Press
4250,nzpf/1118,NZPF,2011-02-12,New Zealand,STL,Invercargill,Invercargill City Powerlifting 3 lift
4251,nzpf/1119,NZPF,2011-09-03,New Zealand,OTA,Dunedin,Club Bench Press
4252,nzpf/1120,NZPF,2011-03-19,New Zealand,OTA,Dunedin,Club 3 Lift
4253,nzpf/1121,NZPF,2011-10-29,New Zealand,OTA,Dunedin,National Bench Press Championships
4254,nzpf/1201,NZPF,2012-03-03,New Zealand,AKL,Auckland,Auckland Raw Novice 3-Lift Competition
4255,nzpf/1202,NZPF,2012-03-31,New Zealand,AKL,Auckland,Auckland 3-Lift Powerlifting Championships
4256,nzpf/1203,NZPF,2012-06-23,New Zealand,AKL,Auckland,Auckland Benchpress Championships
4257,nzpf/1204,NZPF,2012-07-14,New Zealand,AKL,Auckland,South Auckland Novice Competition
4258,nzpf/1205,NZPF,2012-11-17,New Zealand,AKL,Auckland,South Auckland Novice 3- Lift & Benchpress Competition
4259,nzpf/1206,NZPF,2012-11-03,New Zealand,BOP,Taurange,2012 Classic Cup
4260,nzpf/1207,NZPF,2012-02-27,New Zealand,BOP,Tauranga,2012 Icebreaker
4261,nzpf/1208,NZPF,2012-04-15,New Zealand,BOP,Tauranga,WBOP Champs
4262,nzpf/1209,NZPF,2012-05-12,New Zealand,BOP,Hamilton,Waikato/BOP Benchpress Champs
4263,nzpf/1210,NZPF,2012-09-22,New Zealand,WKO,,WBOP Classic Champs
4264,nzpf/1211,NZPF,2012-07-07,New Zealand,OTA,Dunedin,Southern Weightlifting Special Olympic Powerlifting Championships
4265,nzpf/1212,NZPF,2012-12-01,New Zealand,OTA,Dunedin,Special Olympics Regional Summer Games
4266,nzpf/1213,NZPF,2012-04-14,New Zealand,OTA,Dunedin,Southern Weightlifting Provincial Championships
4267,nzpf/1214,NZPF,2012-02-04,New Zealand,OTA,Dunedin,New Zealand Masters Games
4268,nzpf/1215,NZPF,2012-09-08,New Zealand,OTA,Dunedin,Southern Weightlifting Gym Challenge
4269,nzpf/1216,NZPF,2012-02-04,New Zealand,OTA,Dunedin,Southern Weightlifting Club Lift
4270,nzpf/1217,NZPF,2012-10-27,New Zealand,WGN,Wellington,National Bench Press Championship
4271,nzpf/1301,NZPF,2013-03-02,New Zealand,AKL,Auckland,Auckland 3-Lift Novice Powerlifting Competition
4272,nzpf/1302,NZPF,2013-04-13,New Zealand,AKL,Auckland,Auckland 3-Lift Powerlifting Championships
4273,nzpf/1303,NZPF,2013-06-08,New Zealand,AKL,Auckland,Auckland Benchpress Championships
4274,nzpf/1304,NZPF,2013-08-31,New Zealand,AKL,Auckland,Auckland 3- Lift Powerlifting & Benchpress Competition
4275,nzpf/1305,NZPF,2013-02-16,New Zealand,BOP,Tauranga,2013 Ice Breaker and Benchpress Contest
4276,nzpf/1306,NZPF,2013-05-18,New Zealand,BOP,Tauranga,2013 Waikato BOP Benchpress Champs
4277,nzpf/1307,NZPF,2013-04-20,New Zealand,BOP,Tauranga,2013 Waikato/BOP Powerlifting Champs
4278,nzpf/1308,NZPF,2013-10-13,New Zealand,WKO,Te Awamutu,2013 W/BOP Powerlifting Classic Cup
4279,nzpf/1309,NZPF,2013-06-07,New Zealand,OTA,Dunedin,2013 Southern Weightlifting Special Olympic Provincial Powerlifting Championships
4280,nzpf/1310,NZPF,2013-04-27,New Zealand,OTA,Dunedin,2013 Southern Weightlifting Provincial Powerlifting Championships
4281,nzpf/1311,NZPF,2013-04-27,New Zealand,OTA,Dunedin,2013 Southern Weightlifting Provincial Bench Press Championships
4282,nzpf/1312,NZPF,2013-08-31,New Zealand,OTA,Dunedin,Southern Weightlifting Club Lift
4283,nzpf/1313,NZPF,2013-03-09,New Zealand,OTA,Dunedin,Southern Weightlifting Club Classic Lift
4284,nzpf/1314,NZPF,2013-03-09,New Zealand,CAN,Christchurch,New Zealand Bench Press Championships
4285,nzpf/1401,NZPF,2014-03-01,New Zealand,AKL,Auckland,Auckland 3- Lift Powerlifting & Benchpress Competition
4286,nzpf/1402,NZPF,2014-04-05,New Zealand,AKL,Auckland,Auckland Powerlifting Championships
4287,nzpf/1403,NZPF,2014-05-24,New Zealand,AKL,Auckland,Auckland Benchpress Championships
4288,nzpf/1404,NZPF,2014-06-26,New Zealand,AKL,Auckland,Auckland 3- Lift Powerlifting & Benchpress Novice Competition
4289,nzpf/1405,NZPF,2014-11-08,New Zealand,AKL,Auckland,Auckland 3-Lift & Benchpress Novice Competition
4290,nzpf/1406,NZPF,2014-11-11,New Zealand,WKO,Te Awamutu,WBOP Classic Cup
4291,nzpf/1407,NZPF,2014-02-15,New Zealand,BOP,Mount Maunganui,WBOP Ice Breaker
4292,nzpf/1408,NZPF,2014-05-20,New Zealand,WKO,Hamilton,WBOP Benchpress Champs
4293,nzpf/1409,NZPF,2014-04-14,New Zealand,WKO,Hamilton,WBOP Champs
